Name,Outside_Layer,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Notes
quincha_wall,earthen_plaster_w_sand,earth_fiber_sand,mezcla_tipica,reeds,mezcla_tipica,earth_fiber_sand,earthen_plaster_w_sand,,,,
adobe_wall,gypsum_plaster,adobe,earthen_plaster,,,,,,,,
timber_wall,wood_boards,,,,,,,,,,
brick_wall,cement_sand_plaster,brick_solid_for_wall,cement_sand_plaster,,,,,,,,
mud_roof,mud,wood_boards,,,,,,,,,
metal_roof_for_timber_wall,metal_corrugated_sheet_1,insulation_1,,,,,,,,,
metal_roof_for_brick_wall,metal_corrugated_sheet_2,insulation_2,,,,,,,,,
reinforced_concrete_roof,brick_external_for_roof,cement_mortar,structural_concrete,brick_hollow,,,,,,,
ground_floor_quincha,natural_ground,wood_boards,concrete_floor_slab,,,,,,,,
ground_floor_adobe,natural_ground,wood_boards,concrete_floor_slab,,,,,,,,
ground_floor_timber,natural_ground,concrete_floor_slab,,,,,,,,,
ground_floor_brick,concrete_floor_slab,ceramic,wood_boards,,,,,,,,
concrete_ceiling,structural_concrete,,,,,,,,,,
wood_ceiling,wood_boards,,,,,,,,,,
