Name,Outside_Layer,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Notes
const1_wall,earthen_plaster_w_sand,earth_fiber_sand,mezcla_tipica,reeds,mezcla_tipica,earth_fiber_sand,earthen_plaster_w_sand,,,,quincha
const1_roof,mud,wood_boards,,,,,,,,,mud roof for quincha buildings
const1_ground_floor,natural_ground,wood_boards,concrete_floor_slab,,,,,,,,ground floor for quincha buildings
const2_wall,gypsum_plaster,adobe,earthen_plaster,,,,,,,,adobe
const2_roof,mud,wood_boards,,,,,,,,,mud roof for adobe buildings
const2_ground_floor,natural_ground,wood_boards,concrete_floor_slab,,,,,,,,ground floor for adobe buildings
const2_ceiling,wood_boards,,,,,,,,,,ceiling for adobe buildings
const2_ceiling_inverse,wood_boards,,,,,,,,,,inverse ceiling for adobe
const3_wall,wood_boards,,,,,,,,,,timber
const3_roof,metal_corrugated_sheet,insulation_1,,,,,,,,,metal roof for timber buildings
const3_ground_floor,natural_ground,concrete_floor_slab,,,,,,,,,ground floor for timber buildings
const4_wall,cement_sand_plaster,brick_solid_for_wall,cement_sand_plaster,,,,,,,,brick1
const4_roof,metal_corrugated_sheet,insulation_2,,,,,,,,,metal roof for brick1
const4_ground_floor,concrete_floor_slab,ceramic,wood_boards,,,,,,,,ground floor for brick1
const4_ceiling,structural_concrete,,,,,,,,,,ceiling for brick1
const4_ceiling_inverse,structural_concrete,,,,,,,,,,inverse ceiling for brick1
const5_wall,cement_sand_plaster,brick_solid_for_wall,cement_sand_plaster,,,,,,,,brick2
const5_roof,brick_external_for_roof,cement_mortar,structural_concrete,brick_hollow,,,,,,,concrete roof for brick2
const5_ground_floor,concrete_floor_slab,ceramic,wood_boards,,,,,,,,ground floor for brick2
const5_ceiling,structural_concrete,,,,,,,,,,ceiling for brick2
const5_ceiling_inverse,structural_concrete,,,,,,,,,,inverse ceiling for brick2
glazing,4mm_clear,,,,,,,,,,window construction
partition,wood_boards,,,,,,,,,,partition wall
