Name,Zone_or_ZoneList_Name,Schedule_Name,Design_Level_Calculation_Method,Design_Level,Watts_per_Zone_Floor_Area,Watts_per_Person,Fraction_Latent,Fraction_Radiant,Fraction_Lost,EndUse_Subcategory,Notes
Commercial_computers,Commercial,Commercial_Occ,Watts/Area,,9.5,,0,0.2,0,ELECTRIC EQUIPMENT#Commercial,
Commercial_meeting,Commercial,Commercial_Equip_meeting,Watts/Area,,7.6,,0,0.2,0,ELECTRIC EQUIPMENT#Commercial,
Commercial_wifi,Commercial,Commercial_Equip_server,Watts/Area,,1.5,,0,0.2,0,ELECTRIC EQUIPMENT#Commercial,
Commercial_pantry,Commercial,Commercial_Equip_pantry,Watts/Area,,15.9,,0,0.2,0,ELECTRIC EQUIPMENT#Commercial,
Commercial_lift,Commercial,Commercial_Equip_lift,Watts/Area,,2,,0,0.2,0,ELECTRIC EQUIPMENT#Commercial,
