MatName,Roughness,Thickness,Conductivity,Density,Specific_Heat,Thermal_Absorptance,Solar_Absorptance,Visible_Absorptance,Notes
earthen_plaster_w_sand,Rough,0.005,0.6,1800,1000,0.9,0.73,0.73,
earth_fiber_sand,Rough,0.008,0.568,1723,1000,0.9,0.73,0.73,
mezcla_tipica,Rough,0.0275,0.568,1723,1000,0.9,0.73,0.73,
reeds,Rough,0.02,0.099,160,510,0.9,0.73,0.73,
gypsum_plaster,Rough,0.01,0.51,1120,1000,0.9,0.73,0.73,
adobe,Rough,0.4,0.568,1650,1000,0.9,0.73,0.73,
earthen_plaster,Rough,0.015,9,1800,1000,0.9,0.73,0.73,
wood_boards,Rough,0.013,0.14,450,1200,0.9,0.73,0.73,
cement_sand_plaster,Rough,0.01,0.72,1860,1000,0.9,0.73,0.73,
brick_solid_for_wall,Rough,0.13,0.56,1353,840,0.9,0.73,0.73,
mud,Rough,0.12,0.568,1650,1000,0.9,0.73,0.73,
metal_corrugated_sheet,Rough,0.0004,80,5000,510,0.9,0.73,0.73,
insulation_1,Rough,0.05,0.033,60,1400,0.9,0.73,0.73,Used in const3 roof
insulation_2,Rough,0.05,0.033,60,1400,0.9,0.73,0.73,Used in const4 roof
brick_external_for_roof,Rough,0.03,0.71,1450,800,0.9,0.73,0.73,
cement_mortar,Rough,0.02,0.72,1860,1000,0.9,0.73,0.73,
structural_concrete,Rough,0.05,1.9,2300,1000,0.9,0.73,0.73,
brick_hollow,Rough,0.12,0.35,600,840,0.9,0.73,0.73,
natural_ground,Rough,0.5,0.25,1500,1000,0.9,0.73,0.73,
concrete_floor_slab,Rough,0.1,1.9,2300,1000,0.9,0.73,0.73,
ceramic,Rough,0.01,1,2000,800,0.9,0.73,0.73,
